Category	Name	Type	Description
CL: Skin 	A-431 	Epidermoid carcinoma cell line 	Epidermoid carcinoma cell line
CL: Lung 	A549 	Lung carcinoma cell line 	Lung carcinoma cell line
Connective and soft tissue 	adipose tissue 	Connective and soft tissue 	Connective and soft tissue
Endocrine tissues 	adrenal gland 	Endocrine tissues 	Endocrine tissues
CL: Skin 	AF22 	Neuroepithelia stem (NES) cell line 	iPS derived Neuroepithelia stem (NES) cell line
Brain 	amygdala 	Brain 	Brain
CL: Lymph node 	AN3-CA 	Metastatic endometrial adenocarcinoma cell line 	Metastatic endometrial adenocarcinoma
Bone marrow and lymphoid tissues 	appendix 	Bone marrow and lymphoid tissues 	Bone marrow and lymphoid tissues
CL: Adipose tissue 	ASC diff 	Mesenchymal stem cell line 	Differentiated imortalized adipose-derived mesenchymal stem cell line
CL: Adipose tissue 	ASC TERT1 	Mesenchymal stem cell line 	Adipose tissue-derived mesenchymal stem cell line
Blood cell 	B-cells 	Blood cell 	Blood cell
Brain 	basal ganglia 	Brain 	Brain
CL: Brain 	BEWO 	Metastatic choriocarcinoma cell line 	Metastatic choriocarcinoma cell line
CL: Foreskin 	BJ 	Adherent fibroblast cell line 	Adherent fibroblast cell line
CL: Foreskin 	BJ hTERT+ 	Adherent BJ fibroblast cell line 	Adherent BJ fibroblast cell line immortalized with ectopic expression of hTERT
CL: Foreskin 	BJ hTERT+ SV40 Large T+ 	Adherent BJ fibroblast cell line 	Adherent BJ fibroblast cell line immortalized with ectopic expression of hTERT, transformed with SV40 Large-T infection
CL: Foreskin 	BJ hTERT+ SV40 Large T+ RasG12V 	Adherent BJ fibroblast cell line 	Adherent BJ fibroblast cell line immortalized with ectopic expression of hTERT, transformed with SV40 Large-T infection, made metastasizing with oncogenic H-Ras
Bone marrow and lymphoid tissues 	bone marrow 	Bone marrow and lymphoid tissues 	Bone marrow and lymphoid tissues
Female tissues 	breast 	Female tissues 	Female tissues
CL: Colon 	CACO-2 	Colon adenocarcinoma cell line 	Colon adenocarcinoma cell line
CL: Pancreas 	CAPAN-2 	Pancreas adenocarcinoma cell line 	Pancreas adenocarcinoma cell line
Brain 	cerebellum 	Brain 	Brain
