Category	Name	Type
Brain	amygdala 	Brain
Bone marrow and lymphoid tissues	appendix 	Bone marrow and lymphoid tissues
Female tissues	breast 	Female tissues
Brain	cerebellum 	Brain
Gastointestinal tract	colon 	Gastointestinal tract
Gastointestinal tract	duodenum 	Gastointestinal tract
Female tissues	endometrium 	Female tissues
Male tissues	epididymis 	Male tissues
Proximal digestive tract	esophagus 	Proximal digestive tract
Liver and gallblader	gallbladder 	Liver and gallblader
Blood cell	granulocytes 	Blood cell
Brain	hypothalamus 	Brain
Kidney and urinary bladder	kidney 	Kidney and urinary bladder
Liver and gallblader	liver 	Liver and gallblader
Respiratory system	lung 	Respiratory system
Brain	midbrain 	Brain
Blood cell	monocytes 	Blood cell
Female tissues	ovary 	Female tissues
Pancreas	pancreas 	Pancreas
Female tissues	placenta 	Female tissues
Male tissues	prostate 	Male tissues
Gastointestinal tract	rectum 	Gastointestinal tract
Eye	retina 	Eye
Skin	skin 	Skin
Bone marrow and lymphoid tissues	spleen 	Bone marrow and lymphoid tissues
Gastointestinal tract	stomach 	Gastointestinal tract
Male tissues	testis 	Male tissues
Brain	thalamus 	Brain
Bone marrow and lympoid tissues	thymus 	Bone marrow and lympoid tissues
Tongue	tongue 	Tongue
Bone marrow and lympoid tissues	tonsil 	Bone marrow and lympoid tissues
Female tissues	vagina 	Female tissues
